V1,V2,
Zm00001d020042,2,0
Zm00001d004744,6,1
Zm00001d033941,6,1
Zm00001d010759,2,0
Zm00001d017077,7,0
Zm00001d049554,7,0
Zm00001d029443,4,0
Zm00001d022420,7,0
Zm00001d033267,7,1
Zm00001d007073,7,0
Zm00001d016542,3,0
Zm00001d037784,6,0
Zm00001d038846,5,0
Zm00001d012260,3,1
Zm00001d017203,7,0
Zm00001d011496,5,1
Zm00001d053395,8,0
Zm00001d021672,7,0
Zm00001d030698,8,0
Zm00001d010075,2,0
Zm00001d042686,3,1
Zm00001d035949,5,0
Zm00001d038191,2,1
Zm00001d029438,2,0
Zm00001d009013,3,1
Zm00001d005966,3,0
Zm00001d025025,5,0
Zm00001d035907,7,1
Zm00001d014193,7,0
Zm00001d016149,8,0
Zm00001d043422,2,0
Zm00001d016581,8,0
Zm00001d042887,2,0
Zm00001d010529,2,0
Zm00001d003750,4,0
Zm00001d025508,2,0
Zm00001d039685,7,0
Zm00001d025901,7,0
Zm00001d024376,2,1
Zm00001d050195,2,1
Zm00001d051883,7,0
Zm00001d051915,7,0
Zm00001d024630,6,1
Zm00001d012167,6,1
Zm00001d043296,4,0
Zm00001d027988,2,0
Zm00001d006212,4,1
Zm00001d037232,2,0
Zm00001d012746,5,1
Zm00001d042596,4,0
Zm00001d017597,7,0
Zm00001d008939,4,0
Zm00001d002426,7,0
Zm00001d044541,5,0
Zm00001d021368,7,0
Zm00001d047554,5,1
Zm00001d044825,3,1
Zm00001d019240,3,0
Zm00001d021268,5,1
Zm00001d015791,5,0
Zm00001d010907,6,1
Zm00001d024784,6,1
Zm00001d037239,7,0
Zm00001d012881,7,0
Zm00001d041472,5,1
Zm00001d012304,2,0
Zm00001d044409,7,1
Zm00001d011297,6,1
Zm00001d020267,2,1
Zm00001d042624,2,0
Zm00001d014690,6,1
Zm00001d053706,6,0
Zm00001d033872,7,0
Zm00001d034634,2,0
Zm00001d008359,8,0
Zm00001d042274,5,0
Zm00001d043569,5,1
Zm00001d018605,6,1
Zm00001d052543,6,1
Zm00001d030550,4,0
Zm00001d035166,5,0
Zm00001d017900,2,1
Zm00001d045031,2,0
Zm00001d002860,8,0
Zm00001d014744,7,0
Zm00001d015346,4,0
Zm00001d013707,6,0
Zm00001d010805,6,1
Zm00001d031822,6,0
Zm00001d012591,2,0
Zm00001d028999,5,1
Zm00001d046363,2,0
Zm00001d020100,2,0
Zm00001d031678,8,0
Zm00001d014128,8,0
Zm00001d010422,7,0
Zm00001d022088,4,1
Zm00001d033566,1,1
Zm00001d051149,5,1
Zm00001d053514,5,0
Zm00001d043368,2,1
Zm00001d011843,5,1
Zm00001d040933,2,0
Zm00001d034191,8,0
Zm00001d002535,2,0
Zm00001d046132,5,0
Zm00001d030103,7,0
Zm00001d044261,1,1
Zm00001d017306,1,0
Zm00001d010752,4,0
Zm00001d021167,5,0
Zm00001d020804,7,1
Zm00001d043469,4,0
Zm00001d006059,2,0
Zm00001d041580,5,1
Zm00001d030644,5,1
Zm00001d018940,7,0
Zm00001d052343,2,0
Zm00001d050899,5,0
Zm00001d012292,2,0
Zm00001d044156,5,0
Zm00001d045090,3,0
Zm00001d006581,8,0
Zm00001d039324,8,1
Zm00001d012415,2,0
Zm00001d002405,2,1
Zm00001d047618,2,0
Zm00001d027368,8,0
Zm00001d043782,2,1
Zm00001d013571,2,0
Zm00001d011734,7,0
Zm00001d042848,7,0
Zm00001d022525,7,1
Zm00001d008222,4,0
Zm00001d010799,7,0
Zm00001d037894,5,0
Zm00001d050247,5,1
Zm00001d032265,5,1
Zm00001d002564,5,0
Zm00001d022259,6,1
Zm00001d033024,6,0
Zm00001d054080,8,1
Zm00001d028317,8,0
Zm00001d018298,2,0
Zm00001d042706,3,0
Zm00001d018829,6,1
Zm00001d025807,6,0
Zm00001d013465,2,1
Zm00001d049218,2,0
Zm00001d028692,7,0
Zm00001d042933,5,1
Zm00001d012427,5,1
Zm00001d038164,2,0
Zm00001d053855,3,1
Zm00001d047472,7,0
Zm00001d045476,2,0
Zm00001d022597,2,0
Zm00001d020020,3,1
Zm00001d024889,1,0
Zm00001d009694,5,0
Zm00001d025964,7,1
Zm00001d046299,4,1
Zm00001d014947,4,0
Zm00001d046835,4,0
Zm00001d026597,2,0
Zm00001d046746,5,0
Zm00001d051908,7,0
Zm00001d037550,7,0
Zm00001d013185,2,0
Zm00001d008808,2,1
Zm00001d028576,2,0
Zm00001d028170,6,0
Zm00001d014562,7,0
Zm00001d025861,6,1
Zm00001d003052,6,1
Zm00001d043043,2,0
Zm00001d043170,3,0
Zm00001d018966,5,0
Zm00001d042665,2,1
Zm00001d030090,2,0
Zm00001d016674,4,1
Zm00001d026606,4,0
Zm00001d041866,8,1
Zm00001d018150,2,0
Zm00001d007274,2,0
Zm00001d036122,2,0
Zm00001d010459,1,0
Zm00001d052229,3,1
Zm00001d044857,2,1
Zm00001d039310,5,0
Zm00001d033473,7,0
Zm00001d040527,6,1
Zm00001d041725,6,0
Zm00001d036726,5,1
Zm00001d026657,5,0
Zm00001d049913,3,1
Zm00001d052566,3,0
Zm00001d016982,7,0
Zm00001d019228,5,0
Zm00001d017276,5,0
Zm00001d038199,7,0
Zm00001d044925,7,0
Zm00001d011198,7,0
Zm00001d004342,7,0
Zm00001d046945,5,0
Zm00001d018017,2,0
Zm00001d034049,6,0
