TF,Target
Zm00001d031796,Zm00001d003784
Zm00001d031009,Zm00001d042962
Zm00001d032265,Zm00001d028406
Zm00001d011597,Zm00001d013603
Zm00001d002829,Zm00001d026063
Zm00001d049364,Zm00001d050689
Zm00001d042287,Zm00001d053298
Zm00001d010676,Zm00001d016764
Zm00001d026094,Zm00001d050119
Zm00001d002829,Zm00001d048299
Zm00001d045112,Zm00001d010202
Zm00001d026094,Zm00001d009027
Zm00001d051465,Zm00001d014762
Zm00001d050310,Zm00001d032162
Zm00001d047081,Zm00001d028841
Zm00001d038907,Zm00001d021288
Zm00001d013259,Zm00001d034045
Zm00001d033859,Zm00001d018742
Zm00001d002079,Zm00001d049016
Zm00001d020408,Zm00001d011604
Zm00001d028217,Zm00001d017614
Zm00001d048391,Zm00001d038593
Zm00001d031796,Zm00001d042887
Zm00001d052133,Zm00001d013960
Zm00001d002744,Zm00001d014613
Zm00001d033987,Zm00001d033990
Zm00001d017592,Zm00001d039944
Zm00001d026017,Zm00001d002545
Zm00001d011953,Zm00001d042267
Zm00001d002829,Zm00001d052368
Zm00001d030069,Zm00001d051925
Zm00001d043025,Zm00001d044442
Zm00001d040651,Zm00001d046055
Zm00001d002364,Zm00001d009985
Zm00001d038843,Zm00001d036650
Zm00001d039324,Zm00001d034112
Zm00001d005892,Zm00001d006169
Zm00001d050310,Zm00001d029447
Zm00001d042287,Zm00001d033388
Zm00001d011597,Zm00001d028669
Zm00001d030069,Zm00001d037140
Zm00001d005892,Zm00001d021205
Zm00001d009103,Zm00001d012221
Zm00001d020408,Zm00001d032897
Zm00001d033870,Zm00001d009564
Zm00001d031009,Zm00001d047482
Zm00001d043060,Zm00001d032694
Zm00001d035323,Zm00001d043075
Zm00001d049495,Zm00001d002857
Zm00001d010280,Zm00001d033706
Zm00001d043025,Zm00001d023843
Zm00001d050310,Zm00001d038755
Zm00001d002618,Zm00001d006169
Zm00001d047081,Zm00001d048053
Zm00001d027852,Zm00001d045398
Zm00001d048527,Zm00001d047392
Zm00001d039324,Zm00001d034751
Zm00001d017592,Zm00001d033385
Zm00001d017391,Zm00001d010465
Zm00001d024324,Zm00001d008756
Zm00001d030069,Zm00001d024030
Zm00001d024324,Zm00001d018106
Zm00001d015421,Zm00001d020954
Zm00001d009939,Zm00001d024843
Zm00001d029064,Zm00001d042215
Zm00001d017614,Zm00001d037737
Zm00001d030069,Zm00001d045507
Zm00001d017575,Zm00001d018335
Zm00001d016052,Zm00001d053369
Zm00001d050781,Zm00001d043649
Zm00001d048391,Zm00001d012273
Zm00001d011597,Zm00001d051479
Zm00001d052133,Zm00001d040130
Zm00001d017592,Zm00001d029783
Zm00001d030069,Zm00001d022474
Zm00001d038023,Zm00001d050247
Zm00001d052229,Zm00001d034516
Zm00001d020408,Zm00001d018257
Zm00001d013258,Zm00001d012238
Zm00001d052288,Zm00001d044420
Zm00001d031796,Zm00001d042063
Zm00001d024324,Zm00001d021665
Zm00001d003601,Zm00001d049295
Zm00001d035605,Zm00001d027846
Zm00001d039324,Zm00001d021745
Zm00001d029896,Zm00001d047081
Zm00001d011597,Zm00001d030557
Zm00001d010676,Zm00001d003993
Zm00001d049443,Zm00001d026351
Zm00001d021268,Zm00001d006688
Zm00001d022295,Zm00001d031451
