,V1,V2,
213,Zm00001d043479,5,0
214,Zm00001d002943,6,0
215,Zm00001d012494,3,0
216,Zm00001d018829,8,1
217,Zm00001d026017,5,1
218,Zm00001d002545,5,1
219,Zm00001d007311,7,1
220,Zm00001d003006,7,0
221,Zm00001d030995,4,1
222,Zm00001d044228,3,0
223,Zm00001d051600,8,0
224,Zm00001d041489,6,1
225,Zm00001d031061,6,1
226,Zm00001d036050,4,1
227,Zm00001d053210,4,1
228,Zm00001d008957,4,0
229,Zm00001d005892,5,1
230,Zm00001d030891,3,1
231,Zm00001d043971,1,0
232,Zm00001d045302,4,0
233,Zm00001d045420,6,0
234,Zm00001d006653,5,1
235,Zm00001d021892,5,1
236,Zm00001d052323,6,0
237,Zm00001d028266,4,0
238,Zm00001d019116,7,1
239,Zm00001d033568,7,0
240,Zm00001d011006,4,0
241,Zm00001d044387,5,0
242,Zm00001d038164,2,0
243,Zm00001d023419,4,0
244,Zm00001d035651,8,1
245,Zm00001d030727,8,1
246,Zm00001d026218,6,1
247,Zm00001d028122,8,0
248,Zm00001d031326,6,0
249,Zm00001d048383,7,1
250,Zm00001d027623,7,1
251,Zm00001d010638,1,1
252,Zm00001d008216,1,0
253,Zm00001d017785,4,0
254,Zm00001d008794,3,1
255,Zm00001d039532,5,1
256,Zm00001d028862,4,0
257,Zm00001d002897,3,0
258,Zm00001d008540,3,0
259,Zm00001d030032,3,1
260,Zm00001d002364,3,1
261,Zm00001d010956,5,1
262,Zm00001d008601,4,1
263,Zm00001d029545,4,0
264,Zm00001d032974,1,0
265,Zm00001d038925,7,0
266,Zm00001d017185,4,0
267,Zm00001d021876,6,0
268,Zm00001d050664,6,1
269,Zm00001d040278,8,0
270,Zm00001d022453,4,0
271,Zm00001d011237,5,1
272,Zm00001d031449,5,0
273,Zm00001d024324,5,1
274,Zm00001d041214,5,0
275,Zm00001d026271,3,1
276,Zm00001d017095,3,0
277,Zm00001d013598,4,0
278,Zm00001d035640,6,0
279,Zm00001d018097,4,1
280,Zm00001d033898,4,1
281,Zm00001d007842,7,1
282,Zm00001d018742,4,1
283,Zm00001d007274,3,0
284,Zm00001d023565,3,1
285,Zm00001d038191,3,1
286,Zm00001d034084,7,1
287,Zm00001d021601,7,0
288,Zm00001d044728,2,0
289,Zm00001d043153,4,1
290,Zm00001d041880,4,0
291,Zm00001d039306,6,1
292,Zm00001d045554,6,0
293,Zm00001d010282,1,0
294,Zm00001d020042,3,0
295,Zm00001d044121,1,0
296,Zm00001d044171,5,1
297,Zm00001d051397,5,0
298,Zm00001d049173,5,1
299,Zm00001d007329,5,1
300,Zm00001d034920,5,1
301,Zm00001d046035,5,0
302,Zm00001d015515,5,1
303,Zm00001d009328,5,0
304,Zm00001d033848,6,1
305,Zm00001d007828,6,0
306,Zm00001d047399,4,0
307,Zm00001d006516,4,0
308,Zm00001d046632,3,1
309,Zm00001d044868,6,0
310,Zm00001d028269,1,1
311,Zm00001d050193,1,0
312,Zm00001d001946,3,0
313,Zm00001d032794,6,0
314,Zm00001d033168,7,0
315,Zm00001d050185,4,1
316,Zm00001d025613,7,0
317,Zm00001d015614,3,1
318,Zm00001d040090,6,1
319,Zm00001d040091,6,0
320,Zm00001d025400,3,0
321,Zm00001d043238,3,0
322,Zm00001d012427,3,1
323,Zm00001d030858,3,1
324,Zm00001d034163,4,1
325,Zm00001d039600,8,0
326,Zm00001d053369,5,1
327,Zm00001d016052,5,1
328,Zm00001d048527,1,1
329,Zm00001d027317,1,1
330,Zm00001d052221,3,0
331,Zm00001d045463,4,1
332,Zm00001d002000,4,0
333,Zm00001d042950,1,0
334,Zm00001d041576,4,1
335,Zm00001d043599,4,0
336,Zm00001d017825,3,0
337,Zm00001d002451,3,0
338,Zm00001d048590,3,1
339,Zm00001d027337,6,0
340,Zm00001d026669,1,0
341,Zm00001d012438,4,0
342,Zm00001d008578,5,1
343,Zm00001d031077,5,0
344,Zm00001d042057,3,0
345,Zm00001d045513,7,0
346,Zm00001d016674,7,1
347,Zm00001d030550,1,0
348,Zm00001d002402,5,0
349,Zm00001d043915,1,1
350,Zm00001d037951,1,0
351,Zm00001d053826,1,0
352,Zm00001d013400,6,0
353,Zm00001d033378,4,1
354,Zm00001d045695,4,0
355,Zm00001d030343,4,0
356,Zm00001d044652,6,0
357,Zm00001d021298,6,0
358,Zm00001d022122,4,0
359,Zm00001d038185,6,0
360,Zm00001d027852,6,1
361,Zm00001d011398,3,0
362,Zm00001d041740,4,1
363,Zm00001d053177,5,0
364,Zm00001d011037,1,0
365,Zm00001d043196,6,0
366,Zm00001d018618,6,0
367,Zm00001d053394,3,0
368,Zm00001d021761,4,1
369,Zm00001d006585,7,1
370,Zm00001d013003,5,1
371,Zm00001d037724,5,0
372,Zm00001d022461,5,1
373,Zm00001d010588,5,0
374,Zm00001d053195,5,1
375,Zm00001d023535,5,1
376,Zm00001d045499,4,0
377,Zm00001d043843,7,0
378,Zm00001d020405,5,1
379,Zm00001d027978,5,0
380,Zm00001d009603,4,0
381,Zm00001d047017,3,1
382,Zm00001d030028,3,1
383,Zm00001d016027,6,0
384,Zm00001d015846,4,1
385,Zm00001d028228,4,0
386,Zm00001d037783,5,0
387,Zm00001d005975,3,0
388,Zm00001d034338,7,0
389,Zm00001d047519,6,1
390,Zm00001d050790,6,0
391,Zm00001d021447,6,0
392,Zm00001d015759,8,1
393,Zm00001d027904,8,0
394,Zm00001d036400,1,1
395,Zm00001d044528,1,0
396,Zm00001d033711,4,0
397,Zm00001d015921,6,0
398,Zm00001d033876,6,1
399,Zm00001d007157,4,0
400,Zm00001d018203,3,0
401,Zm00001d030678,4,1
402,Zm00001d030191,4,1
403,Zm00001d024763,4,0
404,Zm00001d031161,4,0
405,Zm00001d019457,4,0
