,V1,V2,
5358,Zm00001d019060,5,0
5359,Zm00001d018107,3,0
5360,Zm00001d023299,8,0
5361,Zm00001d020607,4,0
5362,Zm00001d003840,6,0
5363,Zm00001d052709,1,0
5364,Zm00001d014665,6,0
5365,Zm00001d009694,4,0
5366,Zm00001d014787,6,0
5367,Zm00001d047402,6,0
5368,Zm00001d021698,4,0
5369,Zm00001d031168,1,0
5370,Zm00001d049416,6,0
5371,Zm00001d020238,8,0
5372,Zm00001d048736,8,0
5373,Zm00001d023927,3,1
5374,Zm00001d022072,6,0
5375,Zm00001d007826,1,0
5376,Zm00001d053172,4,0
5377,Zm00001d023570,4,0
5378,Zm00001d006466,8,0
5379,Zm00001d038807,5,0
5380,Zm00001d032620,3,0
5381,Zm00001d010743,2,0
5382,Zm00001d040466,7,0
5383,Zm00001d046966,3,0
5384,Zm00001d032893,4,0
5385,Zm00001d002806,3,1
5386,Zm00001d041474,4,1
5387,Zm00001d007947,1,0
5388,Zm00001d005849,6,0
5389,Zm00001d027742,5,0
5390,Zm00001d038551,5,0
5391,Zm00001d052921,1,0
5392,Zm00001d009138,6,0
5393,Zm00001d025012,4,0
5394,Zm00001d039019,3,1
5395,Zm00001d052628,3,0
5396,Zm00001d027522,5,0
5397,Zm00001d043787,5,0
5398,Zm00001d013615,7,0
5399,Zm00001d019048,3,0
5400,Zm00001d036893,5,0
5401,Zm00001d025307,5,0
5402,Zm00001d052813,3,0
5403,Zm00001d029630,3,0
5404,Zm00001d048159,1,0
5405,Zm00001d007173,4,1
5406,Zm00001d010814,4,0
5407,Zm00001d010693,3,0
5408,Zm00001d026648,5,1
5409,Zm00001d041426,8,0
5410,Zm00001d046210,4,0
5411,Zm00001d021738,4,0
5412,Zm00001d011189,4,0
5413,Zm00001d046824,7,0
5414,Zm00001d019225,3,0
5415,Zm00001d046688,4,0
5416,Zm00001d009797,3,0
5417,Zm00001d053817,6,0
5418,Zm00001d053734,3,0
5419,Zm00001d011352,6,0
5420,Zm00001d033271,5,0
5421,Zm00001d017822,5,0
5422,Zm00001d020810,1,0
5423,Zm00001d010928,1,0
5424,Zm00001d033229,5,0
5425,Zm00001d037918,5,0
5426,Zm00001d053158,6,0
5427,Zm00001d011351,1,0
5428,Zm00001d042030,4,0
5429,Zm00001d018882,3,0
5430,Zm00001d033478,4,0
5431,Zm00001d027607,6,0
5432,Zm00001d014518,3,0
5433,Zm00001d020204,1,0
5434,Zm00001d007241,1,0
5435,Zm00001d030942,4,0
5436,Zm00001d016907,2,1
5437,Zm00001d018925,7,0
5438,Zm00001d013999,1,0
5439,Zm00001d045740,4,0
5440,Zm00001d010305,1,0
5441,Zm00001d002590,4,0
5442,Zm00001d049330,5,0
5443,Zm00001d049642,4,0
5444,Zm00001d007934,6,0
5445,Zm00001d038126,6,0
5446,Zm00001d042758,5,1
5447,Zm00001d002296,6,0
5448,Zm00001d018290,4,0
5449,Zm00001d027393,6,0
5450,Zm00001d045230,5,0
5451,Zm00001d049230,1,0
5452,Zm00001d013150,6,0
5453,Zm00001d039827,3,0
5454,Zm00001d013624,6,0
5455,Zm00001d045309,4,0
5456,Zm00001d002882,3,0
5457,Zm00001d003468,7,0
5458,Zm00001d048985,7,0
5459,Zm00001d011319,5,0
5460,Zm00001d034190,6,0
5461,Zm00001d002819,4,0
5462,Zm00001d012032,2,0
5463,Zm00001d053522,3,0
5464,Zm00001d021519,7,0
5465,Zm00001d009761,4,0
5466,Zm00001d048535,1,0
5467,Zm00001d036879,4,0
5468,Zm00001d034722,3,0
5469,Zm00001d023941,3,0
5470,Zm00001d032732,4,0
5471,Zm00001d023210,6,0
5472,Zm00001d043455,7,0
5473,Zm00001d034596,3,1
5474,Zm00001d040745,6,0
5475,Zm00001d048449,3,0
5476,Zm00001d039706,4,0
5477,Zm00001d041929,8,0
5478,Zm00001d040051,1,0
5479,Zm00001d012703,3,1
5480,Zm00001d044340,5,0
5481,Zm00001d011757,8,0
5482,Zm00001d018284,3,0
5483,Zm00001d048804,3,0
5484,Zm00001d047166,1,0
5485,Zm00001d009112,5,0
5486,Zm00001d022506,3,0
5487,Zm00001d053626,5,0
5488,Zm00001d004919,3,0
5489,Zm00001d053245,1,0
5490,Zm00001d029772,1,1
5491,Zm00001d023680,4,0
5492,Zm00001d024572,4,0
5493,Zm00001d040281,1,0
5494,Zm00001d051166,4,0
5495,Zm00001d044099,8,0
5496,Zm00001d023736,8,1
5497,Zm00001d052205,3,0
5498,Zm00001d042056,5,0
5499,Zm00001d034779,8,0
5500,Zm00001d017606,6,1
5501,Zm00001d031962,3,0
5502,Zm00001d016586,5,0
5503,Zm00001d039280,4,0
5504,Zm00001d046455,3,0
5505,Zm00001d031802,5,0
5506,Zm00001d013200,7,1
5507,Zm00001d009567,3,0
5508,Zm00001d014275,1,0
5509,Zm00001d011406,3,1
5510,Zm00001d011096,1,0
5511,Zm00001d011483,6,0
5512,Zm00001d051350,7,1
5513,Zm00001d002584,2,0
5514,Zm00001d037684,4,0
5515,Zm00001d043613,4,0
5516,Zm00001d027941,6,0
5517,Zm00001d034447,2,1
5518,Zm00001d026288,7,0
5519,Zm00001d029546,4,0
5520,Zm00001d029139,5,0
5521,Zm00001d049753,6,0
5522,Zm00001d009724,6,0
5523,Zm00001d004380,8,0
5524,Zm00001d038066,7,0
5525,Zm00001d022388,1,0
5526,Zm00001d004881,3,1
5527,Zm00001d041998,1,0
5528,Zm00001d052842,7,0
5529,Zm00001d003356,5,0
5530,Zm00001d036617,7,0
5531,Zm00001d029975,4,0
5532,Zm00001d018444,6,0
5533,Zm00001d023425,8,0
5534,Zm00001d050417,4,0
5535,Zm00001d046450,6,1
5536,Zm00001d049683,5,0
5537,Zm00001d023836,3,0
5538,Zm00001d011657,4,0
5539,Zm00001d052695,1,0
5540,Zm00001d026588,6,0
5541,Zm00001d030220,3,0
5542,Zm00001d036688,6,0
5543,Zm00001d025115,2,0
5544,Zm00001d044713,1,0
5545,Zm00001d017487,8,0
5546,Zm00001d044409,4,1
5547,Zm00001d023417,6,0
5548,Zm00001d048823,1,0
5549,Zm00001d043994,5,0
5550,Zm00001d019104,6,0
5551,Zm00001d037300,4,0
5552,Zm00001d012285,5,1
5553,Zm00001d043276,4,0
5554,Zm00001d013995,4,0
5555,Zm00001d030579,3,0
5556,Zm00001d020932,3,1
5557,Zm00001d046263,4,0
5558,Zm00001d011003,4,0
5559,Zm00001d013896,7,0
5560,Zm00001d019989,6,0
5561,Zm00001d023636,1,1
5562,Zm00001d014595,1,0
5563,Zm00001d040087,1,0
5564,Zm00001d026675,4,0
5565,Zm00001d048467,4,0
5566,Zm00001d015277,6,0
5567,Zm00001d008198,6,1
5568,Zm00001d002967,1,0
5569,Zm00001d010380,3,0
5570,Zm00001d016234,4,0
5571,Zm00001d039372,1,0
5572,Zm00001d045476,2,0
5573,Zm00001d034642,5,0
5574,Zm00001d052962,5,0
5575,Zm00001d016669,3,0
5576,Zm00001d005819,3,0
5577,Zm00001d052578,5,0
5578,Zm00001d036499,5,0
5579,Zm00001d011164,5,0
5580,Zm00001d003917,4,0
5581,Zm00001d046811,5,0
5582,Zm00001d034723,5,0
5583,Zm00001d044780,1,0
5584,Zm00001d016087,3,0
5585,Zm00001d012084,1,0
5586,Zm00001d052666,1,0
5587,Zm00001d020834,3,1
5588,Zm00001d039989,3,1
5589,Zm00001d010314,8,0
5590,Zm00001d012662,2,0
5591,Zm00001d022386,6,0
5592,Zm00001d042035,3,0
5593,Zm00001d046188,3,0
5594,Zm00001d012246,6,0
5595,Zm00001d024646,6,0
5596,Zm00001d034324,3,0
5597,Zm00001d011918,5,0
5598,Zm00001d018037,4,0
5599,Zm00001d028299,6,0
5600,Zm00001d020978,1,0
5601,Zm00001d020195,6,0
5602,Zm00001d012212,6,0
5603,Zm00001d032719,4,0
5604,Zm00001d034796,1,0
5605,Zm00001d003572,1,0
5606,Zm00001d038574,4,1
5607,Zm00001d007830,3,0
5608,Zm00001d021396,4,0
5609,Zm00001d006297,5,0
5610,Zm00001d020639,5,0
5611,Zm00001d032461,7,0
5612,Zm00001d006027,5,1
5613,Zm00001d030795,8,0
5614,Zm00001d048208,5,1
5615,Zm00001d053699,4,0
5616,Zm00001d023811,5,0
5617,Zm00001d011741,1,0
5618,Zm00001d008772,4,0
5619,Zm00001d022192,4,0
5620,Zm00001d003848,6,0
5621,Zm00001d029004,1,0
5622,Zm00001d013391,1,0
5623,Zm00001d049709,3,0
5624,Zm00001d026405,5,0
5625,Zm00001d037211,5,0
5626,Zm00001d012044,1,0
5627,Zm00001d025574,5,0
5628,Zm00001d016842,3,0
5629,Zm00001d053799,7,0
5630,Zm00001d017930,1,0
5631,Zm00001d008799,3,0
5632,Zm00001d004882,6,1
5633,Zm00001d030235,4,0
5634,Zm00001d047428,4,0
5635,Zm00001d012726,5,0
5636,Zm00001d044284,1,0
5637,Zm00001d006184,4,0
5638,Zm00001d011383,3,0
5639,Zm00001d039510,6,1
5640,Zm00001d012900,5,0
5641,Zm00001d049656,1,0
5642,Zm00001d018813,3,0
5643,Zm00001d043011,4,0
5644,Zm00001d002682,4,0
5645,Zm00001d039455,6,0
5646,Zm00001d011868,1,0
5647,Zm00001d033913,1,0
5648,Zm00001d009686,4,0
5649,Zm00001d028962,3,1
5650,Zm00001d054093,5,0
5651,Zm00001d002650,1,0
5652,Zm00001d029248,6,0
5653,Zm00001d050437,1,0
5654,Zm00001d017247,1,0
5655,Zm00001d027971,1,0
5656,Zm00001d042921,6,0
5657,Zm00001d021815,4,0
5658,Zm00001d016285,5,0
5659,Zm00001d044950,5,0
5660,Zm00001d020886,5,0
5661,Zm00001d016840,5,0
5662,Zm00001d048095,1,0
5663,Zm00001d039094,4,0
5664,Zm00001d010671,4,0
5665,Zm00001d039167,7,0
5666,Zm00001d007264,5,1
5667,Zm00001d024821,5,0
5668,Zm00001d051138,8,0
5669,Zm00001d005714,7,0
5670,Zm00001d022177,3,0
5671,Zm00001d015445,2,0
5672,Zm00001d017129,2,1
5673,Zm00001d035367,2,0
5674,Zm00001d050728,8,0
5675,Zm00001d019222,4,0
5676,Zm00001d038172,1,0
5677,Zm00001d010064,6,0
5678,Zm00001d034564,6,0
5679,Zm00001d006230,2,0
5680,Zm00001d038844,1,0
5681,Zm00001d017762,5,0
5682,Zm00001d024568,8,0
5683,Zm00001d014141,6,0
5684,Zm00001d031602,5,0
5685,Zm00001d048138,6,1
5686,Zm00001d012086,5,0
5687,Zm00001d021737,4,0
5688,Zm00001d028692,4,0
5689,Zm00001d025238,1,0
5690,Zm00001d021647,5,0
5691,Zm00001d013839,1,0
5692,Zm00001d023658,6,0
5693,Zm00001d039374,5,0
5694,Zm00001d010234,3,0
5695,Zm00001d006250,6,0
5696,Zm00001d053672,4,0
5697,Zm00001d023332,5,1
5698,Zm00001d037025,4,0
5699,Zm00001d017956,3,0
5700,Zm00001d017503,3,0
5701,Zm00001d015319,3,0
5702,Zm00001d042343,3,0
5703,Zm00001d018844,5,0
5704,Zm00001d045017,3,0
5705,Zm00001d053118,5,0
5706,Zm00001d051650,4,0
5707,Zm00001d009450,3,0
5708,Zm00001d029750,1,0
5709,Zm00001d040163,4,0
5710,Zm00001d045478,3,0
5711,Zm00001d042740,3,0
5712,Zm00001d041183,1,0
5713,Zm00001d033457,7,0
5714,Zm00001d018074,6,0
5715,Zm00001d027973,6,0
5716,Zm00001d028776,7,0
5717,Zm00001d046855,6,0
5718,Zm00001d018510,5,1
5719,Zm00001d039302,5,0
5720,Zm00001d021596,5,0
5721,Zm00001d008422,1,0
5722,Zm00001d044518,5,0
5723,Zm00001d044845,1,0
5724,Zm00001d025922,8,0
5725,Zm00001d042045,6,0
5726,Zm00001d049997,6,0
5727,Zm00001d011890,1,0
5728,Zm00001d041192,4,0
5729,Zm00001d052234,7,0
5730,Zm00001d025713,1,0
5731,Zm00001d008501,7,0
5732,Zm00001d004506,7,0
5733,Zm00001d042276,4,0
5734,Zm00001d025847,4,0
5735,Zm00001d010574,1,1
5736,Zm00001d032740,5,0
5737,Zm00001d024225,1,0
5738,Zm00001d034769,5,0
5739,Zm00001d051339,3,0
5740,Zm00001d021844,1,0
5741,Zm00001d043261,1,0
5742,Zm00001d030549,4,0
5743,Zm00001d024418,8,0
5744,Zm00001d020140,2,0
5745,Zm00001d018451,3,0
5746,Zm00001d010617,5,1
5747,Zm00001d029118,1,0
5748,Zm00001d047806,7,0
5749,Zm00001d009106,5,0
5750,Zm00001d021511,1,0
5751,Zm00001d044157,3,0
5752,Zm00001d038861,6,1
5753,Zm00001d045989,2,0
5754,Zm00001d039300,4,0
5755,Zm00001d018305,1,1
5756,Zm00001d045756,4,0
5757,Zm00001d035512,1,1
5758,Zm00001d037696,1,0
5759,Zm00001d038377,5,0
5760,Zm00001d042192,4,0
5761,Zm00001d007760,6,0
5762,Zm00001d003349,1,0
5763,Zm00001d014938,6,1
5764,Zm00001d043069,5,0
5765,Zm00001d028987,5,0
5766,Zm00001d034758,8,0
5767,Zm00001d014203,1,0
5768,Zm00001d036441,3,0
5769,Zm00001d029667,5,0
5770,Zm00001d003023,4,0
5771,Zm00001d051695,4,0
5772,Zm00001d016059,6,0
5773,Zm00001d011648,1,0
5774,Zm00001d021639,5,0
5775,Zm00001d037386,5,0
5776,Zm00001d016947,5,0
5777,Zm00001d027285,6,0
5778,Zm00001d001770,2,0
5779,Zm00001d010009,4,0
5780,Zm00001d007187,4,0
5781,Zm00001d041883,3,1
5782,Zm00001d007687,3,0
5783,Zm00001d040297,4,0
5784,Zm00001d027812,8,0
5785,Zm00001d012567,3,0
5786,Zm00001d046728,4,0
5787,Zm00001d010527,6,0
5788,Zm00001d023542,1,0
5789,Zm00001d037197,3,0
5790,Zm00001d044435,5,0
5791,Zm00001d002446,4,0
5792,Zm00001d025383,5,0
5793,Zm00001d023429,6,0
5794,Zm00001d040818,7,0
5795,Zm00001d035677,3,0
5796,Zm00001d010545,4,0
5797,Zm00001d007679,1,0
5798,Zm00001d006548,1,0
5799,Zm00001d015851,2,0
5800,Zm00001d029173,1,0
5801,Zm00001d043371,6,0
5802,Zm00001d033021,1,0
5803,Zm00001d011355,1,1
5804,Zm00001d033247,1,0
5805,Zm00001d008222,5,0
5806,Zm00001d010309,1,1
5807,Zm00001d019432,1,0
5808,Zm00001d009487,5,0
5809,Zm00001d041221,5,0
5810,Zm00001d032744,4,0
5811,Zm00001d028870,5,0
5812,Zm00001d024854,3,0
5813,Zm00001d033002,4,0
5814,Zm00001d014244,4,0
5815,Zm00001d028129,5,1
5816,Zm00001d030935,1,0
5817,Zm00001d047537,6,0
5818,Zm00001d042911,1,0
5819,Zm00001d053196,4,0
5820,Zm00001d052343,3,0
5821,Zm00001d038840,4,0
5822,Zm00001d032353,4,0
5823,Zm00001d048417,3,0
5824,Zm00001d051065,6,0
5825,Zm00001d001806,4,0
5826,Zm00001d033511,1,0
5827,Zm00001d012819,4,0
5828,Zm00001d003245,3,0
5829,Zm00001d019552,7,0
5830,Zm00001d012049,3,1
5831,Zm00001d038525,4,0
5832,Zm00001d047159,3,0
5833,Zm00001d017598,3,0
5834,Zm00001d003013,4,0
5835,Zm00001d042499,4,0
5836,Zm00001d040380,5,0
5837,Zm00001d045515,7,0
5838,Zm00001d033995,4,0
5839,Zm00001d009579,1,0
5840,Zm00001d018712,5,0
5841,Zm00001d033999,6,0
5842,Zm00001d021871,1,0
5843,Zm00001d051836,3,0
5844,Zm00001d010229,4,0
5845,Zm00001d049737,4,0
5846,Zm00001d014405,4,1
5847,Zm00001d030164,1,0
5848,Zm00001d029020,1,1
5849,Zm00001d005429,2,0
5850,Zm00001d039488,6,0
5851,Zm00001d010957,8,0
5852,Zm00001d044441,1,0
5853,Zm00001d031220,5,0
5854,Zm00001d029674,4,0
5855,Zm00001d031204,2,0
5856,Zm00001d053778,5,0
5857,Zm00001d028510,3,0
5858,Zm00001d011823,3,0
5859,Zm00001d012292,5,0
5860,Zm00001d033863,6,0
5861,Zm00001d040048,5,0
5862,Zm00001d032669,5,0
5863,Zm00001d012700,2,0
5864,Zm00001d048202,4,0
5865,Zm00001d043286,4,0
5866,Zm00001d024281,6,0
5867,Zm00001d040126,4,0
5868,Zm00001d019040,1,0
5869,Zm00001d027863,5,0
5870,Zm00001d040014,7,0
5871,Zm00001d006131,4,0
5872,Zm00001d053890,6,1
5873,Zm00001d038722,2,0
5874,Zm00001d003566,2,0
5875,Zm00001d032032,1,1
5876,Zm00001d021829,4,0
5877,Zm00001d030045,3,0
5878,Zm00001d019534,4,0
5879,Zm00001d042114,5,0
5880,Zm00001d021379,1,0
5881,Zm00001d049648,7,0
5882,Zm00001d052929,6,0
5883,Zm00001d017210,4,0
5884,Zm00001d039059,8,0
5885,Zm00001d018755,4,0
5886,Zm00001d045185,5,0
5887,Zm00001d045026,6,1
5888,Zm00001d045296,3,0
5889,Zm00001d053346,6,0
5890,Zm00001d051693,4,0
5891,Zm00001d050227,3,0
5892,Zm00001d034196,8,0
5893,Zm00001d050079,4,0
5894,Zm00001d041305,4,0
5895,Zm00001d008305,4,0
5896,Zm00001d028303,7,0
5897,Zm00001d031536,5,0
5898,Zm00001d010445,5,0
5899,Zm00001d024327,1,0
5900,Zm00001d015355,3,0
5901,Zm00001d053910,3,0
5902,Zm00001d049688,6,0
5903,Zm00001d001972,6,0
5904,Zm00001d053975,1,1
5905,Zm00001d039085,4,0
5906,Zm00001d033297,4,0
5907,Zm00001d013719,7,0
5908,Zm00001d050838,6,0
5909,Zm00001d002754,8,1
5910,Zm00001d006750,6,0
5911,Zm00001d018522,4,0
5912,Zm00001d031878,4,0
5913,Zm00001d009971,3,0
5914,Zm00001d030849,6,0
5915,Zm00001d044244,4,0
5916,Zm00001d051785,8,0
5917,Zm00001d033583,7,0
5918,Zm00001d018209,4,0
5919,Zm00001d016414,3,0
5920,Zm00001d029189,1,0
5921,Zm00001d048146,4,0
5922,Zm00001d016118,7,0
5923,Zm00001d048601,3,1
5924,Zm00001d006663,8,0
5925,Zm00001d031434,3,0
5926,Zm00001d013997,4,0
5927,Zm00001d009189,8,0
5928,Zm00001d015124,1,0
5929,Zm00001d026238,2,0
5930,Zm00001d011543,3,0
5931,Zm00001d006311,1,0
5932,Zm00001d016787,6,0
5933,Zm00001d020740,4,0
5934,Zm00001d043271,8,1
5935,Zm00001d014332,2,0
5936,Zm00001d019240,6,0
5937,Zm00001d052686,2,0
5938,Zm00001d045974,4,0
5939,Zm00001d045465,3,0
5940,Zm00001d010466,3,0
5941,Zm00001d039471,6,0
5942,Zm00001d053613,1,0
5943,Zm00001d042182,4,0
5944,Zm00001d038930,5,1
5945,Zm00001d032511,6,0
5946,Zm00001d021038,3,0
5947,Zm00001d011839,3,0
5948,Zm00001d018482,4,0
5949,Zm00001d043088,4,0
5950,Zm00001d023681,7,0
5951,Zm00001d042754,8,0
5952,Zm00001d018055,2,0
5953,Zm00001d017036,6,0
5954,Zm00001d042930,6,0
5955,Zm00001d023553,6,0
5956,Zm00001d029604,7,0
5957,Zm00001d013797,4,0
5958,Zm00001d016897,6,0
5959,Zm00001d008757,4,0
5960,Zm00001d014755,3,0
5961,Zm00001d024883,3,1
5962,Zm00001d015670,4,0
5963,Zm00001d006022,3,1
5964,Zm00001d020985,5,0
5965,Zm00001d005995,6,0
5966,Zm00001d040245,1,0
5967,Zm00001d051754,4,0
5968,Zm00001d040373,5,0
5969,Zm00001d027649,4,0
5970,Zm00001d028222,8,0
5971,Zm00001d045450,1,0
5972,Zm00001d014835,6,0
5973,Zm00001d016758,6,0
5974,Zm00001d024825,1,0
5975,Zm00001d046644,5,0
5976,Zm00001d009928,8,0
5977,Zm00001d052772,8,0
5978,Zm00001d019796,2,0
5979,Zm00001d013522,7,0
5980,Zm00001d024745,5,0
5981,Zm00001d025035,5,0
5982,Zm00001d006203,4,0
5983,Zm00001d004687,2,0
5984,Zm00001d002695,4,0
5985,Zm00001d005241,4,0
5986,Zm00001d028009,8,0
5987,Zm00001d021532,1,0
5988,Zm00001d009226,1,0
5989,Zm00001d045468,4,0
5990,Zm00001d038071,1,0
5991,Zm00001d007080,4,0
5992,Zm00001d034387,1,0
5993,Zm00001d032030,3,0
5994,Zm00001d025967,3,0
5995,Zm00001d007773,5,0
5996,Zm00001d042400,2,0
5997,Zm00001d053684,6,0
5998,Zm00001d019957,4,0
5999,Zm00001d044494,2,0
6000,Zm00001d046204,2,1
6001,Zm00001d017813,2,0
6002,Zm00001d034319,6,0
6003,Zm00001d027299,1,0
6004,Zm00001d045576,4,0
6005,Zm00001d011789,4,0
6006,Zm00001d014378,1,1
6007,Zm00001d007884,1,0
6008,Zm00001d017954,1,0
6009,Zm00001d009027,2,0
6010,Zm00001d013652,4,0
6011,Zm00001d024088,1,0
6012,Zm00001d012291,7,0
6013,Zm00001d041839,6,0
6014,Zm00001d009936,3,0
6015,Zm00001d041098,4,0
6016,Zm00001d042567,4,0
6017,Zm00001d044291,4,0
6018,Zm00001d021787,4,0
6019,Zm00001d020006,4,0
6020,Zm00001d030267,6,0
6021,Zm00001d031895,5,0
6022,Zm00001d039575,5,0
6023,Zm00001d009312,7,0
6024,Zm00001d045950,5,0
6025,Zm00001d012103,1,0
6026,Zm00001d026597,3,0
6027,Zm00001d010480,1,0
6028,Zm00001d022163,3,0
6029,Zm00001d038513,6,0
6030,Zm00001d018973,5,0
6031,Zm00001d037733,3,0
6032,Zm00001d014778,3,0
6033,Zm00001d052799,3,0
6034,Zm00001d040064,6,0
6035,Zm00001d044285,4,0
6036,Zm00001d016825,4,0
6037,Zm00001d045002,1,0
6038,Zm00001d043747,2,0
6039,Zm00001d043234,7,0
6040,Zm00001d009125,5,0
6041,Zm00001d026576,4,0
6042,Zm00001d012067,3,1
6043,Zm00001d035625,1,0
6044,Zm00001d010676,5,1
6045,Zm00001d047917,3,0
6046,Zm00001d006353,4,0
6047,Zm00001d006715,3,0
6048,Zm00001d013109,3,0
6049,Zm00001d039967,3,0
6050,Zm00001d047335,4,0
6051,Zm00001d016649,4,0
6052,Zm00001d047220,4,0
6053,Zm00001d023873,8,0
6054,Zm00001d014554,4,0
6055,Zm00001d006640,7,0
6056,Zm00001d018848,3,0
6057,Zm00001d004416,1,0
6058,Zm00001d053738,4,0
6059,Zm00001d020227,2,0
6060,Zm00001d031212,6,0
6061,Zm00001d033910,8,0
6062,Zm00001d052851,1,0
6063,Zm00001d012664,1,0
6064,Zm00001d023465,1,1
6065,Zm00001d022561,4,0
6066,Zm00001d036683,3,0
6067,Zm00001d026457,5,0
6068,Zm00001d018962,4,0
6069,Zm00001d008530,6,0
6070,Zm00001d042716,2,0
6071,Zm00001d033878,5,0
6072,Zm00001d033079,5,0
6073,Zm00001d009747,6,0
6074,Zm00001d042686,1,1
6075,Zm00001d021545,1,1
6076,Zm00001d017913,4,0
6077,Zm00001d038146,6,0
6078,Zm00001d022290,6,0
6079,Zm00001d016938,4,0
6080,Zm00001d039154,4,0
6081,Zm00001d033595,4,0
6082,Zm00001d003905,3,0
6083,Zm00001d029869,3,0
6084,Zm00001d041232,4,0
6085,Zm00001d006614,3,1
6086,Zm00001d005460,8,0
6087,Zm00001d039946,4,0
6088,Zm00001d015844,4,0
6089,Zm00001d039141,6,0
6090,Zm00001d031749,4,0
6091,Zm00001d049186,5,0
6092,Zm00001d046535,6,0
6093,Zm00001d036902,5,0
6094,Zm00001d029950,7,0
6095,Zm00001d021412,3,0
6096,Zm00001d005902,5,0
6097,Zm00001d032213,3,1
6098,Zm00001d028074,4,0
6099,Zm00001d039150,5,0
6100,Zm00001d011922,6,0
6101,Zm00001d046974,4,1
6102,Zm00001d020490,5,1
6103,Zm00001d002198,5,0
6104,Zm00001d039156,5,0
6105,Zm00001d030002,6,0
6106,Zm00001d040274,3,0
6107,Zm00001d046998,3,0
6108,Zm00001d019372,4,0
6109,Zm00001d024600,5,0
6110,Zm00001d047913,4,0
6111,Zm00001d017788,6,1
6112,Zm00001d051577,6,1
6113,Zm00001d025680,7,0
6114,Zm00001d014783,8,0
6115,Zm00001d021189,1,1
6116,Zm00001d044812,6,0
6117,Zm00001d013758,1,0
6118,Zm00001d005399,6,0
6119,Zm00001d037111,6,0
6120,Zm00001d045310,1,0
6121,Zm00001d010700,4,0
6122,Zm00001d021010,3,0
6123,Zm00001d009530,7,0
6124,Zm00001d014952,4,0
6125,Zm00001d034022,3,0
6126,Zm00001d002934,4,1
6127,Zm00001d031636,6,0
6128,Zm00001d023536,8,0
6129,Zm00001d051529,6,0
6130,Zm00001d022368,8,0
6131,Zm00001d052751,1,0
6132,Zm00001d049595,7,0
6133,Zm00001d028705,3,0
6134,Zm00001d024952,6,0
6135,Zm00001d009000,1,0
6136,Zm00001d037375,7,0
6137,Zm00001d022241,7,0
6138,Zm00001d040479,7,0
6139,Zm00001d002965,5,0
6140,Zm00001d012684,6,0
6141,Zm00001d015984,4,0
6142,Zm00001d052930,6,0
6143,Zm00001d048968,3,0
6144,Zm00001d017982,1,0
6145,Zm00001d052224,6,0
6146,Zm00001d049464,3,0
6147,Zm00001d033516,7,0
6148,Zm00001d012899,3,0
6149,Zm00001d048564,1,0
6150,Zm00001d022227,8,1
6151,Zm00001d038688,6,0
6152,Zm00001d007856,2,0
6153,Zm00001d024222,4,0
6154,Zm00001d028733,6,0
6155,Zm00001d046723,4,0
6156,Zm00001d005664,3,0
6157,Zm00001d021296,4,1
6158,Zm00001d048506,3,0
6159,Zm00001d048785,4,0
6160,Zm00001d004057,1,0
6161,Zm00001d010129,8,0
6162,Zm00001d007015,3,0
6163,Zm00001d030656,6,0
6164,Zm00001d014762,4,1
6165,Zm00001d029744,3,0
6166,Zm00001d048836,1,0
6167,Zm00001d029010,6,1
6168,Zm00001d034795,4,0
6169,Zm00001d016453,1,0
6170,Zm00001d039111,2,0
6171,Zm00001d008279,3,0
6172,Zm00001d036451,6,0
6173,Zm00001d048059,1,1
6174,Zm00001d030862,5,1
6175,Zm00001d037943,3,0
6176,Zm00001d021610,6,0
6177,Zm00001d043425,1,0
6178,Zm00001d023792,1,0
6179,Zm00001d044242,6,1
6180,Zm00001d024187,5,0
6181,Zm00001d004611,4,0
6182,Zm00001d013635,4,0
6183,Zm00001d035937,3,0
6184,Zm00001d022028,6,0
6185,Zm00001d034256,8,0
6186,Zm00001d003603,5,0
6187,Zm00001d039634,4,0
6188,Zm00001d027928,3,1
6189,Zm00001d047618,3,0
6190,Zm00001d036892,3,0
6191,Zm00001d011813,4,0
6192,Zm00001d006455,7,0
6193,Zm00001d033391,7,0
6194,Zm00001d049293,4,0
6195,Zm00001d025098,1,0
6196,Zm00001d047350,3,0
6197,Zm00001d015153,3,1
6198,Zm00001d045496,3,0
6199,Zm00001d012173,6,0
6200,Zm00001d019365,5,0
6201,Zm00001d039364,7,0
6202,Zm00001d025433,6,0
6203,Zm00001d019700,6,0
6204,Zm00001d048603,5,1
6205,Zm00001d051121,5,0
6206,Zm00001d030737,8,1
6207,Zm00001d034651,4,1
6208,Zm00001d025710,6,0
6209,Zm00001d034849,3,0
6210,Zm00001d015505,8,0
6211,Zm00001d005343,6,0
6212,Zm00001d037868,5,0
6213,Zm00001d015268,8,1
6214,Zm00001d007251,7,0
6215,Zm00001d028713,1,0
6216,Zm00001d020748,6,0
6217,Zm00001d005688,3,0
6218,Zm00001d053427,1,0
6219,Zm00001d043354,2,0
6220,Zm00001d037590,5,0
6221,Zm00001d002318,2,0
6222,Zm00001d020903,7,0
6223,Zm00001d038170,8,0
6224,Zm00001d014998,1,0
6225,Zm00001d026128,1,0
6226,Zm00001d005016,6,1
6227,Zm00001d006821,3,0
6228,Zm00001d028613,4,0
6229,Zm00001d003949,7,0
6230,Zm00001d033324,1,1
6231,Zm00001d015767,5,0
