V1,V2,
Zm00001d013662,2,1
Zm00001d013663,2,0
Zm00001d021389,5,1
Zm00001d016733,5,0
Zm00001d010062,2,0
Zm00001d040710,2,0
Zm00001d018829,3,1
Zm00001d044802,3,0
Zm00001d047881,3,0
Zm00001d033516,3,0
Zm00001d047017,7,1
Zm00001d043706,7,1
Zm00001d010280,3,1
Zm00001d028510,3,0
Zm00001d038191,3,1
Zm00001d047563,5,1
Zm00001d002357,7,0
Zm00001d043368,3,1
Zm00001d031732,5,0
Zm00001d018142,8,1
Zm00001d052180,4,1
Zm00001d049407,3,0
Zm00001d049364,6,1
Zm00001d024324,6,1
Zm00001d020225,2,0
Zm00001d033717,4,0
Zm00001d033848,7,1
Zm00001d034388,7,0
Zm00001d016175,5,1
Zm00001d034017,5,0
Zm00001d037337,2,0
Zm00001d018157,4,0
Zm00001d031064,2,1
Zm00001d006658,2,0
Zm00001d045468,5,0
Zm00001d032948,3,0
Zm00001d013319,5,0
Zm00001d049938,2,0
Zm00001d044672,2,0
Zm00001d008764,5,0
Zm00001d042386,2,0
Zm00001d043430,3,0
Zm00001d047970,2,0
Zm00001d005346,4,0
Zm00001d051112,2,0
Zm00001d054094,2,0
Zm00001d026063,2,0
Zm00001d046996,1,0
Zm00001d040154,1,0
Zm00001d013119,3,1
Zm00001d050488,1,0
Zm00001d026240,2,1
Zm00001d015226,8,1
Zm00001d033896,5,0
Zm00001d038664,1,1
Zm00001d014972,1,0
Zm00001d036123,5,0
Zm00001d007076,5,0
Zm00001d003064,7,1
Zm00001d048558,7,0
Zm00001d007372,2,0
Zm00001d039104,4,0
Zm00001d043423,3,0
Zm00001d053151,5,1
Zm00001d030032,5,1
Zm00001d019150,3,0
Zm00001d032805,2,0
Zm00001d041791,2,1
Zm00001d035266,2,1
Zm00001d008939,1,0
Zm00001d043458,5,0
Zm00001d031270,5,1
Zm00001d007832,5,0
Zm00001d047399,5,0
Zm00001d018056,3,1
Zm00001d002662,2,0
Zm00001d021236,3,1
Zm00001d022611,2,0
Zm00001d034204,2,1
Zm00001d035757,2,0
Zm00001d021424,3,1
Zm00001d008334,3,0
Zm00001d029519,5,0
Zm00001d021447,2,0
Zm00001d033527,4,0
Zm00001d024281,5,0
Zm00001d020939,1,1
Zm00001d036977,1,0
Zm00001d016952,3,1
Zm00001d038699,3,0
Zm00001d051632,4,1
Zm00001d042355,4,0
Zm00001d031161,5,0
Zm00001d009336,1,0
Zm00001d046357,5,0
Zm00001d040246,5,0
Zm00001d029012,5,0
Zm00001d038020,5,0
Zm00001d032453,5,0
Zm00001d039371,3,1
Zm00001d052733,5,0
Zm00001d013295,3,0
Zm00001d042486,4,0
Zm00001d019855,3,0
Zm00001d021515,4,0
Zm00001d032331,4,0
Zm00001d023634,1,0
Zm00001d014386,3,0
Zm00001d046485,2,0
Zm00001d028216,2,1
Zm00001d020629,2,0
Zm00001d037682,3,0
Zm00001d017288,5,0
Zm00001d045560,5,1
Zm00001d023419,5,0
Zm00001d051187,1,0
Zm00001d047661,3,0
Zm00001d049046,8,0
Zm00001d045450,5,0
Zm00001d011527,8,1
Zm00001d017152,8,0
Zm00001d025774,2,0
Zm00001d052152,7,1
Zm00001d018191,7,1
Zm00001d050218,7,0
Zm00001d039379,3,0
Zm00001d002850,7,0
Zm00001d019462,2,0
Zm00001d029784,3,0
Zm00001d044538,5,1
Zm00001d006725,1,0
Zm00001d043921,5,1
Zm00001d012408,5,0
Zm00001d017592,7,1
Zm00001d032120,7,0
Zm00001d006149,5,0
Zm00001d034212,4,1
Zm00001d035447,6,0
Zm00001d032694,3,1
Zm00001d026015,2,0
Zm00001d012808,5,0
Zm00001d028625,4,1
Zm00001d045661,4,1
Zm00001d052741,3,0
Zm00001d018045,3,1
Zm00001d052256,3,0
Zm00001d020461,2,0
Zm00001d051591,2,0
Zm00001d021403,3,1
Zm00001d009751,1,0
Zm00001d037273,8,0
Zm00001d031725,3,1
Zm00001d015614,3,1
Zm00001d017457,7,0
Zm00001d032999,5,1
Zm00001d027846,5,1
Zm00001d017043,2,0
Zm00001d050664,1,1
Zm00001d034239,1,0
Zm00001d032744,2,0
Zm00001d021645,4,0
Zm00001d036978,4,0
Zm00001d005888,5,1
Zm00001d049954,7,0
Zm00001d015999,4,0
Zm00001d026139,5,0
Zm00001d039941,5,0
Zm00001d006950,5,0
Zm00001d018369,2,0
Zm00001d002094,3,0
Zm00001d008528,8,1
Zm00001d029906,5,0
Zm00001d020220,4,0
Zm00001d005966,1,0
Zm00001d048004,2,1
Zm00001d007840,2,1
Zm00001d048054,3,0
Zm00001d045581,1,1
Zm00001d008642,5,0
Zm00001d030737,3,1
Zm00001d023856,3,0
Zm00001d040898,1,0
Zm00001d029293,5,1
Zm00001d029888,2,0
Zm00001d009028,4,0
Zm00001d023316,1,1
Zm00001d013392,1,0
Zm00001d052804,5,1
Zm00001d003612,1,0
Zm00001d032922,4,1
Zm00001d015268,3,1
Zm00001d033898,5,1
Zm00001d028432,5,1
Zm00001d030550,4,0
Zm00001d002534,2,0
Zm00001d034702,2,0
Zm00001d010179,5,0
Zm00001d006879,5,0
Zm00001d002687,5,0
Zm00001d025238,1,0
Zm00001d024547,1,1
Zm00001d026337,4,0
Zm00001d022259,5,1
Zm00001d018473,2,0
Zm00001d045836,5,0
Zm00001d053684,2,0
Zm00001d020540,3,1
Zm00001d047625,8,0
Zm00001d037094,2,0
Zm00001d028129,7,1
Zm00001d023294,7,1
Zm00001d039245,8,1
Zm00001d043025,8,1
Zm00001d017785,5,0
Zm00001d043049,2,0
Zm00001d021736,7,0
Zm00001d012693,2,0
Zm00001d042276,5,0
Zm00001d003615,5,0
Zm00001d013202,8,1
Zm00001d034160,2,1
Zm00001d015477,2,0
Zm00001d003104,3,0
Zm00001d003172,2,0
Zm00001d040381,2,0
Zm00001d040297,5,0
Zm00001d034605,6,1
Zm00001d018718,6,0
Zm00001d021338,2,0
Zm00001d046170,4,0
Zm00001d012725,3,1
Zm00001d002353,3,0
Zm00001d033673,4,1
Zm00001d051606,3,0
Zm00001d049161,4,0
Zm00001d028391,3,0
Zm00001d027371,2,0
Zm00001d052318,5,0
Zm00001d028243,2,0
Zm00001d020941,2,1
Zm00001d012957,2,0
Zm00001d034558,5,0
Zm00001d047516,2,0
Zm00001d038165,7,0
Zm00001d018731,2,1
Zm00001d020872,5,0
Zm00001d026271,6,1
Zm00001d010956,7,1
Zm00001d030069,2,1
Zm00001d033522,2,0
Zm00001d025710,2,0
Zm00001d021813,5,0
Zm00001d027727,3,0
Zm00001d045706,5,0
Zm00001d037151,2,0
Zm00001d035762,5,0
Zm00001d021263,6,1
Zm00001d038164,4,0
Zm00001d048903,7,0
Zm00001d043579,5,0
Zm00001d034808,4,0
Zm00001d017383,5,1
Zm00001d010527,3,0
Zm00001d044033,3,0
Zm00001d005976,2,0
Zm00001d044081,2,1
Zm00001d023478,2,0
Zm00001d007231,3,0
Zm00001d032316,6,1
Zm00001d010982,6,0
Zm00001d027757,5,1
Zm00001d034031,6,0
Zm00001d004220,2,0
Zm00001d053272,2,0
Zm00001d002721,3,0
Zm00001d020686,5,0
Zm00001d014201,5,1
Zm00001d039732,5,0
Zm00001d048569,5,0
Zm00001d053124,4,1
Zm00001d027729,4,0
Zm00001d028750,8,0
Zm00001d037338,2,0
Zm00001d008248,5,0
Zm00001d041518,5,0
Zm00001d029675,2,0
Zm00001d045051,7,0
Zm00001d047451,2,0
Zm00001d052061,5,0
Zm00001d021699,8,0
Zm00001d048802,5,0
Zm00001d013522,5,0
Zm00001d013399,5,1
Zm00001d026002,5,0
Zm00001d053268,4,0
Zm00001d027599,5,0
Zm00001d026282,5,0
Zm00001d040076,2,0
Zm00001d037114,2,0
Zm00001d035455,7,0
Zm00001d038143,5,0
Zm00001d035605,5,1
Zm00001d022254,5,0
Zm00001d032209,1,0
Zm00001d046755,1,1
Zm00001d041788,1,0
Zm00001d045400,3,1
Zm00001d033234,3,0
Zm00001d027925,7,1
Zm00001d039542,3,0
Zm00001d038338,5,1
Zm00001d008756,6,0
Zm00001d037751,5,0
Zm00001d018350,3,0
Zm00001d036322,2,0
Zm00001d047424,5,0
Zm00001d013566,2,0
Zm00001d013947,7,0
Zm00001d033822,2,0
Zm00001d016256,5,0
Zm00001d051915,8,0
Zm00001d025960,3,0
Zm00001d010178,3,0
Zm00001d037029,7,1
Zm00001d038741,7,0
Zm00001d032353,5,0
Zm00001d027856,5,0
Zm00001d047837,5,0
Zm00001d041746,1,0
Zm00001d021599,3,0
Zm00001d021505,2,0
Zm00001d017871,2,0
Zm00001d038907,7,1
Zm00001d042482,7,1
Zm00001d020957,5,0
Zm00001d032295,6,1
Zm00001d032502,2,1
Zm00001d049443,3,1
Zm00001d007679,1,0
Zm00001d024047,5,0
Zm00001d023681,2,0
Zm00001d021453,2,0
Zm00001d021698,7,0
Zm00001d032206,3,1
Zm00001d004817,3,0
Zm00001d032565,2,0
Zm00001d034037,5,0
Zm00001d012304,3,0
Zm00001d024763,5,0
Zm00001d024030,2,0
Zm00001d025964,8,1
Zm00001d052409,8,0
Zm00001d018530,3,1
Zm00001d021026,3,0
Zm00001d009873,1,0
Zm00001d002490,4,0
Zm00001d043737,3,0
Zm00001d022442,2,1
Zm00001d007172,2,0
Zm00001d025923,4,0
Zm00001d020974,5,0
Zm00001d006103,2,0
Zm00001d041472,8,1
Zm00001d048083,2,1
Zm00001d046072,2,0
Zm00001d022569,5,0
Zm00001d053004,5,0
Zm00001d007868,3,1
Zm00001d018806,3,0
Zm00001d029093,5,0
Zm00001d005399,2,0
Zm00001d003266,2,0
Zm00001d053586,2,0
Zm00001d026490,5,0
Zm00001d052955,2,0
Zm00001d018810,5,0
Zm00001d049717,2,0
Zm00001d007843,8,0
Zm00001d021477,2,0
Zm00001d003715,4,0
Zm00001d003368,2,0
Zm00001d024701,2,1
Zm00001d038211,2,0
Zm00001d010840,7,0
Zm00001d021173,2,0
Zm00001d013245,5,0
Zm00001d027431,5,1
Zm00001d014756,2,0
Zm00001d036750,5,0
Zm00001d002775,5,0
Zm00001d032955,5,0
Zm00001d046596,3,0
Zm00001d008326,2,0
Zm00001d006250,2,0
Zm00001d015515,7,1
Zm00001d003830,7,0
Zm00001d053371,1,0
Zm00001d026489,5,0
Zm00001d008380,5,0
Zm00001d048354,5,0
Zm00001d028369,4,0
Zm00001d047913,5,0
Zm00001d044703,7,0
Zm00001d041998,1,0
Zm00001d048471,5,1
Zm00001d024734,5,0
Zm00001d018097,5,1
Zm00001d042953,5,0
Zm00001d033533,1,0
Zm00001d028751,5,0
Zm00001d029059,2,0
Zm00001d043615,5,0
Zm00001d002558,4,0
Zm00001d052533,7,0
Zm00001d028947,2,0
Zm00001d012276,2,0
Zm00001d024314,4,0
Zm00001d017949,2,0
Zm00001d038252,5,0
Zm00001d043232,3,0
Zm00001d008359,2,0
Zm00001d023693,4,0
Zm00001d003086,4,0
Zm00001d030191,5,1
Zm00001d005578,5,1
Zm00001d014467,5,0
Zm00001d038894,8,0
Zm00001d007465,2,1
Zm00001d039324,3,1
Zm00001d018447,3,0
Zm00001d050061,2,0
Zm00001d020544,2,0
Zm00001d013697,2,0
Zm00001d032504,3,0
Zm00001d011468,5,0
Zm00001d022256,3,1
Zm00001d045445,2,0
Zm00001d039077,4,1
Zm00001d027322,8,0
Zm00001d027999,3,0
Zm00001d028164,5,0
Zm00001d015703,1,0
Zm00001d039004,5,1
Zm00001d017209,5,0
Zm00001d018238,4,0
Zm00001d023813,3,0
Zm00001d029231,1,0
Zm00001d025864,7,1
Zm00001d047754,7,0
Zm00001d034978,5,0
Zm00001d032500,1,0
Zm00001d039726,5,0
Zm00001d045859,3,0
Zm00001d034984,5,1
Zm00001d044132,5,0
Zm00001d049541,5,0
Zm00001d042492,7,1
Zm00001d015549,8,1
Zm00001d034241,8,0
Zm00001d041481,5,0
Zm00001d002405,6,1
Zm00001d026252,6,1
Zm00001d004744,3,1
