V1,V2,
Zm00001d002025,2,1
Zm00001d053382,2,0
Zm00001d014507,2,1
Zm00001d008230,2,0
Zm00001d005843,2,1
Zm00001d019462,2,0
Zm00001d026343,6,0
Zm00001d046170,2,0
Zm00001d053210,2,1
Zm00001d006587,2,0
Zm00001d039941,2,0
Zm00001d048082,3,1
Zm00001d028217,3,1
Zm00001d018752,6,0
Zm00001d001838,1,1
Zm00001d048421,1,0
Zm00001d020557,2,0
Zm00001d042993,2,0
Zm00001d018415,2,0
Zm00001d052731,2,0
Zm00001d050043,2,0
Zm00001d041732,3,0
Zm00001d033898,2,1
Zm00001d045581,5,1
Zm00001d022000,5,0
Zm00001d011692,6,1
Zm00001d043695,6,0
Zm00001d037323,2,0
Zm00001d007351,3,0
Zm00001d038064,2,0
Zm00001d012524,1,0
Zm00001d024915,3,0
Zm00001d026094,5,1
Zm00001d015292,2,0
Zm00001d003538,4,0
Zm00001d051787,4,0
Zm00001d010179,3,0
Zm00001d032776,2,0
Zm00001d021236,4,1
Zm00001d027904,6,0
Zm00001d034978,2,0
Zm00001d003516,5,0
Zm00001d052104,2,0
Zm00001d024701,6,1
Zm00001d039144,3,0
Zm00001d013319,3,0
Zm00001d009556,5,0
Zm00001d023810,2,0
Zm00001d005016,2,1
Zm00001d035842,2,0
Zm00001d009506,3,0
Zm00001d051163,2,0
Zm00001d012304,4,0
Zm00001d033075,3,1
Zm00001d021321,3,0
Zm00001d027846,2,1
Zm00001d015743,2,1
Zm00001d025413,6,0
Zm00001d044538,3,1
Zm00001d011470,3,1
Zm00001d015889,2,0
Zm00001d008612,2,1
Zm00001d029027,3,0
Zm00001d043171,2,0
Zm00001d052318,3,0
Zm00001d024630,3,1
Zm00001d019994,3,0
Zm00001d016134,2,0
Zm00001d029149,2,1
Zm00001d009929,2,0
Zm00001d012019,1,0
Zm00001d033325,6,1
Zm00001d049822,6,1
Zm00001d016332,2,1
Zm00001d049950,3,0
Zm00001d003012,3,0
Zm00001d046642,3,0
Zm00001d020957,2,0
Zm00001d049926,1,0
Zm00001d013163,4,0
Zm00001d002904,5,0
Zm00001d007824,6,0
Zm00001d053888,3,0
Zm00001d050061,2,0
Zm00001d052595,2,0
Zm00001d038959,3,0
Zm00001d029151,2,0
Zm00001d023425,6,0
Zm00001d049763,2,0
Zm00001d043477,3,0
Zm00001d032475,4,0
Zm00001d044925,2,0
Zm00001d040803,4,0
Zm00001d043402,4,1
Zm00001d007360,4,0
Zm00001d028243,6,0
Zm00001d048050,2,0
Zm00001d052112,6,1
Zm00001d018260,6,1
Zm00001d002035,2,0
Zm00001d008803,5,0
Zm00001d047081,3,1
Zm00001d012492,3,0
Zm00001d030069,2,1
Zm00001d052389,2,0
Zm00001d045302,2,0
Zm00001d012477,3,0
Zm00001d052804,3,1
Zm00001d013995,3,0
Zm00001d052616,3,0
Zm00001d048229,2,1
Zm00001d022192,1,0
Zm00001d046981,2,1
Zm00001d044159,2,0
Zm00001d024756,2,0
Zm00001d003212,2,0
Zm00001d035439,3,1
Zm00001d024141,4,0
Zm00001d017684,4,0
Zm00001d023839,2,0
Zm00001d040297,2,0
Zm00001d049265,3,0
Zm00001d024532,2,1
Zm00001d002649,2,1
Zm00001d003676,1,0
Zm00001d029499,3,0
Zm00001d019207,4,1
Zm00001d038274,4,0
Zm00001d053313,4,1
Zm00001d047499,4,0
Zm00001d024009,2,0
Zm00001d037213,3,0
Zm00001d011312,4,0
Zm00001d018034,2,0
Zm00001d035817,5,0
Zm00001d046974,5,1
Zm00001d007853,5,0
Zm00001d024676,2,0
Zm00001d032024,2,1
Zm00001d053394,2,0
Zm00001d002278,4,0
Zm00001d034495,4,0
Zm00001d023801,2,0
Zm00001d028751,3,0
Zm00001d024148,2,0
Zm00001d047878,6,1
Zm00001d028504,6,1
Zm00001d017949,2,0
Zm00001d017584,2,0
Zm00001d003414,2,1
Zm00001d045468,3,0
Zm00001d025913,6,0
Zm00001d009530,4,0
Zm00001d013895,6,1
Zm00001d032502,6,1
Zm00001d041709,2,0
Zm00001d008882,2,1
Zm00001d029064,5,1
Zm00001d015348,5,0
Zm00001d029553,1,1
Zm00001d033136,3,0
Zm00001d011833,2,0
Zm00001d047260,4,0
Zm00001d037701,3,0
Zm00001d050011,2,0
Zm00001d010193,1,0
Zm00001d002450,6,0
Zm00001d039387,4,0
Zm00001d001945,2,1
Zm00001d026540,2,1
Zm00001d032240,3,1
Zm00001d013801,3,1
Zm00001d021452,2,0
Zm00001d009668,3,1
Zm00001d047451,2,0
Zm00001d040075,2,0
Zm00001d009608,2,0
Zm00001d043474,4,1
Zm00001d031290,4,0
Zm00001d003368,2,0
Zm00001d020938,3,1
Zm00001d035934,6,0
Zm00001d002794,2,1
Zm00001d038878,2,1
Zm00001d007481,5,0
Zm00001d047519,7,1
Zm00001d019459,3,0
Zm00001d013495,2,0
Zm00001d012128,3,1
Zm00001d043771,3,0
Zm00001d004639,5,0
Zm00001d045721,2,0
Zm00001d020403,2,0
Zm00001d019698,2,0
Zm00001d008397,2,0
Zm00001d015549,5,1
Zm00001d007117,4,0
Zm00001d030617,4,1
Zm00001d049234,5,0
Zm00001d043019,3,0
Zm00001d018804,2,0
Zm00001d049543,5,1
Zm00001d047204,5,0
Zm00001d017470,2,0
Zm00001d025933,2,0
Zm00001d028599,2,0
Zm00001d017742,6,1
Zm00001d026240,6,1
Zm00001d038143,2,0
Zm00001d002277,3,0
Zm00001d051272,2,0
Zm00001d003505,2,0
Zm00001d033815,2,1
Zm00001d030310,2,0
Zm00001d013119,3,1
Zm00001d018806,3,0
Zm00001d014313,6,0
Zm00001d017785,3,0
Zm00001d009589,2,0
Zm00001d018119,6,1
Zm00001d046277,3,0
Zm00001d014601,3,0
Zm00001d020540,3,1
Zm00001d034818,3,0
Zm00001d033794,2,0
Zm00001d018364,2,0
Zm00001d013295,2,0
Zm00001d018667,6,1
Zm00001d007949,5,1
Zm00001d034947,4,1
Zm00001d023413,7,0
Zm00001d032686,2,0
Zm00001d010062,2,0
Zm00001d004676,5,0
Zm00001d017330,4,0
Zm00001d030345,6,0
Zm00001d028248,1,0
Zm00001d021515,2,0
Zm00001d045118,4,0
Zm00001d033158,2,0
Zm00001d042933,7,1
Zm00001d028103,7,0
Zm00001d006180,3,0
Zm00001d032999,2,1
Zm00001d004744,6,1
Zm00001d014617,6,0
Zm00001d017642,2,1
Zm00001d042953,2,0
Zm00001d013744,2,0
Zm00001d018447,4,0
Zm00001d029566,5,0
Zm00001d010397,1,0
Zm00001d047135,1,0
Zm00001d002928,3,0
Zm00001d009923,1,0
Zm00001d037786,2,1
Zm00001d005535,7,0
Zm00001d037484,2,0
Zm00001d005293,2,0
Zm00001d037858,2,0
Zm00001d003381,4,0
Zm00001d050310,4,1
Zm00001d013914,4,0
Zm00001d012234,3,0
Zm00001d034601,4,1
Zm00001d028005,3,0
Zm00001d046261,2,0
Zm00001d008669,6,0
Zm00001d025082,3,0
Zm00001d042527,2,0
Zm00001d053109,2,0
Zm00001d045695,2,0
Zm00001d019059,4,0
Zm00001d025887,2,0
Zm00001d008529,2,0
Zm00001d020941,6,1
Zm00001d042631,3,0
Zm00001d030130,2,0
Zm00001d022254,2,0
Zm00001d035323,3,1
Zm00001d006871,3,0
Zm00001d024768,2,0
Zm00001d047796,3,0
Zm00001d018257,5,0
Zm00001d040066,2,0
Zm00001d037017,4,0
Zm00001d023283,2,0
Zm00001d005298,6,0
Zm00001d010112,1,0
Zm00001d017423,2,0
Zm00001d036692,3,1
Zm00001d045105,3,0
Zm00001d041198,5,0
Zm00001d037693,1,0
Zm00001d043271,3,1
Zm00001d022081,2,0
Zm00001d022277,2,0
Zm00001d025944,6,1
Zm00001d028664,6,1
Zm00001d053880,2,1
Zm00001d025062,6,0
Zm00001d019507,3,0
Zm00001d039928,3,0
Zm00001d039371,6,1
Zm00001d005252,6,0
Zm00001d037958,4,0
Zm00001d021329,2,0
Zm00001d013662,3,1
Zm00001d013663,3,0
Zm00001d013364,1,0
Zm00001d015463,2,0
Zm00001d020683,6,1
Zm00001d046626,6,0
Zm00001d028304,2,1
Zm00001d011969,2,1
Zm00001d043915,5,1
Zm00001d043861,5,0
Zm00001d025619,6,0
Zm00001d013357,2,1
Zm00001d010525,2,0
Zm00001d007403,2,0
Zm00001d002830,2,0
Zm00001d022462,6,0
Zm00001d035764,2,0
Zm00001d037094,6,0
Zm00001d038511,3,0
Zm00001d027448,1,0
Zm00001d006499,2,0
Zm00001d031759,6,1
Zm00001d039967,6,0
Zm00001d033039,6,0
Zm00001d046596,6,0
Zm00001d010976,3,0
Zm00001d023830,2,0
Zm00001d029516,3,0
Zm00001d023781,2,0
Zm00001d015990,5,1
Zm00001d013159,5,0
Zm00001d031545,4,0
Zm00001d024587,3,0
Zm00001d052717,1,1
Zm00001d031913,6,0
Zm00001d025924,3,0
Zm00001d031569,7,0
Zm00001d049581,1,1
Zm00001d015294,3,0
Zm00001d011641,7,0
Zm00001d029604,3,0
Zm00001d027938,2,0
Zm00001d027454,2,0
Zm00001d024605,2,0
Zm00001d049656,4,0
Zm00001d045212,3,1
Zm00001d015521,3,1
Zm00001d003743,4,0
Zm00001d043238,2,0
Zm00001d026576,3,0
Zm00001d003715,2,0
Zm00001d004052,6,0
Zm00001d031634,2,0
Zm00001d028919,2,1
Zm00001d016723,6,0
Zm00001d045305,2,0
Zm00001d044194,2,1
Zm00001d026336,2,0
Zm00001d012847,3,0
Zm00001d014748,2,0
Zm00001d020209,5,0
Zm00001d021024,2,0
Zm00001d023932,3,0
