V1,V2,
Zm00001d048346,1,0
Zm00001d009868,1,0
Zm00001d028550,4,0
Zm00001d030960,5,0
Zm00001d033872,4,0
Zm00001d014723,5,1
Zm00001d036404,4,0
Zm00001d037905,1,0
Zm00001d012103,1,0
Zm00001d015426,2,0
Zm00001d051899,4,0
Zm00001d043953,7,0
Zm00001d034698,1,0
Zm00001d046891,6,0
Zm00001d049940,5,0
Zm00001d021999,4,0
Zm00001d033874,5,0
Zm00001d016810,1,0
Zm00001d045000,1,0
Zm00001d031861,5,1
Zm00001d042117,1,0
Zm00001d008407,3,0
Zm00001d017036,7,0
Zm00001d032805,5,0
Zm00001d024857,5,0
Zm00001d020697,7,0
Zm00001d038348,1,0
Zm00001d040850,4,0
Zm00001d018930,4,1
Zm00001d003207,1,0
Zm00001d016230,6,0
Zm00001d023706,1,0
Zm00001d020188,1,0
Zm00001d009653,1,0
Zm00001d012909,4,0
Zm00001d032566,5,0
Zm00001d027342,1,0
Zm00001d034511,4,0
Zm00001d038143,4,0
Zm00001d035089,7,0
Zm00001d020367,4,0
Zm00001d019562,1,0
Zm00001d014043,6,0
Zm00001d016702,6,0
Zm00001d003945,6,0
Zm00001d048162,4,0
Zm00001d036483,1,0
Zm00001d013572,4,0
Zm00001d011325,5,0
Zm00001d015306,4,0
Zm00001d049082,4,0
Zm00001d028025,4,0
Zm00001d025082,5,0
Zm00001d043655,4,1
Zm00001d022048,4,0
Zm00001d033240,4,1
Zm00001d034490,4,0
Zm00001d027847,4,0
Zm00001d042572,4,0
Zm00001d031773,5,0
Zm00001d031476,1,0
Zm00001d013053,6,0
Zm00001d037313,4,0
Zm00001d052701,4,0
Zm00001d021702,5,0
Zm00001d012958,6,0
Zm00001d032748,2,0
Zm00001d018882,1,0
Zm00001d011877,1,0
Zm00001d045887,6,1
Zm00001d012969,4,0
Zm00001d001879,1,1
Zm00001d038923,1,0
Zm00001d018289,4,0
Zm00001d019472,7,0
Zm00001d012677,4,0
Zm00001d024704,5,0
Zm00001d042499,5,0
Zm00001d027969,4,0
Zm00001d031059,1,0
Zm00001d006613,1,0
Zm00001d034990,4,0
Zm00001d032531,1,0
Zm00001d007146,4,0
Zm00001d029249,4,0
Zm00001d018499,6,0
Zm00001d042453,1,0
Zm00001d019423,7,0
Zm00001d024573,6,0
Zm00001d034558,3,0
Zm00001d017088,4,0
Zm00001d025801,4,0
Zm00001d027719,4,0
Zm00001d015446,5,0
Zm00001d046602,5,0
Zm00001d041322,4,0
Zm00001d042450,4,0
Zm00001d031939,7,0
Zm00001d029061,5,0
Zm00001d003912,5,0
Zm00001d052453,4,0
Zm00001d026547,5,0
Zm00001d003684,1,0
Zm00001d052416,5,0
Zm00001d003446,4,0
Zm00001d041334,4,0
Zm00001d046949,4,0
Zm00001d028572,4,0
Zm00001d042259,4,0
Zm00001d047738,1,0
Zm00001d038535,1,0
Zm00001d031677,5,0
Zm00001d008465,4,0
Zm00001d045972,6,0
Zm00001d033886,4,0
Zm00001d041972,5,0
Zm00001d030893,4,0
Zm00001d009723,2,0
Zm00001d017823,4,0
Zm00001d012918,3,0
Zm00001d013528,3,0
Zm00001d030796,1,0
Zm00001d013282,1,0
Zm00001d013250,1,0
Zm00001d029490,6,0
Zm00001d035902,1,0
Zm00001d005281,2,0
Zm00001d042662,6,0
Zm00001d050694,4,0
Zm00001d034410,4,0
Zm00001d046767,5,0
Zm00001d051998,5,0
Zm00001d038891,7,0
Zm00001d030849,7,0
Zm00001d024306,4,0
Zm00001d040710,5,0
Zm00001d051069,2,0
Zm00001d038075,4,0
Zm00001d044156,4,0
Zm00001d053799,4,0
Zm00001d006254,5,0
Zm00001d032223,7,0
Zm00001d044407,1,0
Zm00001d020201,1,0
Zm00001d039821,4,0
Zm00001d012567,1,0
Zm00001d024939,1,0
Zm00001d032603,6,0
Zm00001d019215,4,0
Zm00001d002933,4,0
Zm00001d029342,4,0
Zm00001d029476,4,0
Zm00001d045507,5,1
Zm00001d047464,4,0
Zm00001d042764,4,0
Zm00001d036409,4,0
Zm00001d041287,4,0
Zm00001d040408,1,0
Zm00001d048082,5,1
Zm00001d047351,7,0
Zm00001d014563,1,0
Zm00001d010711,4,0
Zm00001d035913,4,0
Zm00001d021824,4,0
Zm00001d047435,3,0
Zm00001d049834,7,0
Zm00001d044662,4,1
Zm00001d021305,5,0
Zm00001d048115,5,0
Zm00001d017698,4,0
Zm00001d051241,5,0
Zm00001d035066,4,0
Zm00001d021445,1,0
Zm00001d019277,6,0
Zm00001d036807,4,1
Zm00001d028536,4,0
Zm00001d052525,4,0
Zm00001d020450,1,0
Zm00001d019698,4,0
Zm00001d021955,3,0
Zm00001d009657,1,0
Zm00001d001820,7,0
Zm00001d052903,1,0
Zm00001d050323,4,0
Zm00001d021815,1,0
Zm00001d012231,3,0
Zm00001d022463,1,0
Zm00001d001812,2,0
Zm00001d045212,6,1
Zm00001d017886,4,0
Zm00001d016913,4,0
Zm00001d025894,6,0
Zm00001d045434,7,0
Zm00001d013758,1,0
Zm00001d040752,5,0
Zm00001d044664,1,0
Zm00001d011160,4,0
Zm00001d006051,4,0
Zm00001d039826,4,0
Zm00001d005790,1,0
Zm00001d016342,5,0
Zm00001d027404,4,0
Zm00001d018500,4,0
Zm00001d022510,5,0
Zm00001d051056,5,0
Zm00001d030860,5,0
Zm00001d034616,1,0
Zm00001d034790,4,0
Zm00001d052276,5,0
Zm00001d042922,4,0
Zm00001d028293,4,0
Zm00001d049860,5,1
Zm00001d009797,4,0
Zm00001d002064,1,0
Zm00001d030231,4,0
Zm00001d051249,4,0
Zm00001d034045,4,1
Zm00001d013392,1,0
Zm00001d012238,4,0
Zm00001d051925,4,0
Zm00001d046564,4,1
Zm00001d041495,1,0
Zm00001d042367,4,0
Zm00001d034256,4,0
Zm00001d041175,4,0
Zm00001d023343,5,0
Zm00001d004740,6,0
Zm00001d051057,7,0
Zm00001d051754,4,0
Zm00001d030021,4,0
Zm00001d009060,4,0
Zm00001d053416,5,0
Zm00001d031303,4,0
Zm00001d014757,4,0
Zm00001d026582,4,0
Zm00001d054008,4,0
Zm00001d005238,1,0
Zm00001d042968,6,1
Zm00001d048561,4,0
Zm00001d036535,7,0
Zm00001d019117,4,0
Zm00001d027293,7,0
Zm00001d049714,4,0
Zm00001d019288,5,0
Zm00001d006626,4,0
Zm00001d027868,4,0
Zm00001d048454,3,0
Zm00001d041700,1,0
Zm00001d053566,4,1
Zm00001d015103,3,0
Zm00001d028187,5,0
Zm00001d021711,4,0
Zm00001d042309,4,0
Zm00001d031136,4,0
Zm00001d028012,4,0
Zm00001d047617,4,0
Zm00001d045183,4,0
Zm00001d011463,6,0
Zm00001d047373,6,0
Zm00001d051286,2,0
