V1,V2,
Zm00001d038227,4,1
Zm00001d013259,1,1
Zm00001d034045,1,1
Zm00001d018742,1,1
Zm00001d002079,5,1
Zm00001d049016,5,0
Zm00001d020408,7,1
Zm00001d011604,7,0
Zm00001d048391,5,1
Zm00001d038593,5,0
Zm00001d042887,6,0
Zm00001d013960,1,0
Zm00001d014613,6,0
Zm00001d033990,2,0
Zm00001d039944,6,0
Zm00001d026017,4,1
Zm00001d002545,4,1
Zm00001d011953,4,1
Zm00001d042267,4,1
Zm00001d052368,3,0
Zm00001d051925,3,0
Zm00001d044442,6,0
Zm00001d046055,5,0
Zm00001d009985,6,0
Zm00001d036650,6,0
Zm00001d034112,5,0
Zm00001d005892,6,1
Zm00001d006169,6,1
Zm00001d029447,5,0
Zm00001d033388,3,0
Zm00001d028669,3,0
Zm00001d037140,1,1
Zm00001d021205,6,1
Zm00001d009103,5,1
Zm00001d012221,5,0
Zm00001d032897,1,0
Zm00001d009564,3,0
Zm00001d047482,7,0
Zm00001d043060,6,1
Zm00001d032694,6,1
Zm00001d043075,4,0
Zm00001d033706,5,1
Zm00001d023843,6,0
Zm00001d038755,5,0
Zm00001d048053,1,0
Zm00001d045398,1,1
Zm00001d048527,3,1
Zm00001d047392,3,0
Zm00001d034751,5,1
Zm00001d033385,6,0
Zm00001d017391,1,1
Zm00001d010465,1,0
Zm00001d020851,3,0
Zm00001d012527,6,1
Zm00001d019734,6,1
Zm00001d024030,1,0
Zm00001d018106,6,0
Zm00001d015421,5,1
Zm00001d009939,6,1
Zm00001d024843,6,0
Zm00001d029064,5,1
Zm00001d042215,4,0
Zm00001d045507,1,1
Zm00001d017575,1,1
Zm00001d018335,1,0
Zm00001d016052,6,1
Zm00001d053369,5,1
Zm00001d043649,7,0
Zm00001d012273,5,1
Zm00001d051479,3,0
Zm00001d040130,1,0
Zm00001d029783,6,0
Zm00001d034516,3,0
Zm00001d018257,7,0
Zm00001d013258,1,1
Zm00001d012238,1,0
Zm00001d052288,3,1
Zm00001d044420,3,0
Zm00001d042063,6,0
Zm00001d021665,6,0
Zm00001d003601,4,1
Zm00001d049295,4,1
Zm00001d035605,1,1
Zm00001d027846,6,1
Zm00001d021745,5,0
Zm00001d029896,1,1
Zm00001d030557,1,0
Zm00001d003993,5,0
Zm00001d021268,1,1
Zm00001d006688,1,0
Zm00001d022295,1,1
Zm00001d008841,2,0
Zm00001d033489,5,0
Zm00001d010399,6,1
Zm00001d020363,3,0
Zm00001d038522,6,0
Zm00001d012335,6,0
Zm00001d053695,6,0
Zm00001d041958,1,1
Zm00001d014341,1,0
Zm00001d014201,1,1
Zm00001d017559,1,1
Zm00001d012166,3,0
Zm00001d028372,4,1
Zm00001d020036,4,0
Zm00001d017984,6,0
Zm00001d014253,6,1
Zm00001d027317,3,1
Zm00001d029647,3,0
Zm00001d029023,3,0
Zm00001d001907,6,0
Zm00001d047538,3,0
Zm00001d002579,5,0
Zm00001d019216,5,1
Zm00001d005203,5,0
Zm00001d041866,5,1
Zm00001d023565,5,1
Zm00001d037100,4,0
Zm00001d052738,5,1
Zm00001d014491,6,0
Zm00001d036250,3,0
Zm00001d008573,6,0
Zm00001d006103,1,0
Zm00001d007862,3,0
Zm00001d041489,3,1
Zm00001d031061,3,1
Zm00001d007175,6,0
Zm00001d007274,5,0
Zm00001d025786,3,0
Zm00001d052143,3,0
Zm00001d029460,5,0
Zm00001d017986,3,1
Zm00001d047516,3,0
Zm00001d047456,5,0
Zm00001d033943,6,0
Zm00001d052112,1,1
Zm00001d018260,1,1
Zm00001d050664,3,1
Zm00001d021056,1,0
Zm00001d015363,1,0
Zm00001d053746,6,0
Zm00001d033777,3,0
Zm00001d005945,5,0
Zm00001d034601,6,1
Zm00001d006016,6,0
Zm00001d023301,3,0
Zm00001d047637,3,0
Zm00001d051057,3,0
Zm00001d048954,1,0
Zm00001d009751,4,0
Zm00001d034818,1,0
Zm00001d048294,6,0
Zm00001d017357,5,0
Zm00001d012968,6,1
Zm00001d007082,1,0
Zm00001d016197,3,0
Zm00001d049938,3,0
Zm00001d006149,6,0
Zm00001d039062,3,0
Zm00001d022628,7,1
Zm00001d042795,7,0
Zm00001d003331,3,1
Zm00001d027929,6,1
Zm00001d033325,3,1
Zm00001d052442,1,0
Zm00001d021208,6,1
Zm00001d037461,4,1
Zm00001d014640,4,0
Zm00001d005269,3,0
Zm00001d023955,1,1
Zm00001d026447,5,1
Zm00001d037124,5,0
Zm00001d009506,1,0
Zm00001d048226,6,0
Zm00001d038969,6,0
Zm00001d017852,6,0
Zm00001d052533,6,0
Zm00001d031182,1,1
Zm00001d033898,1,1
Zm00001d003445,7,0
Zm00001d028374,6,0
Zm00001d014286,4,1
Zm00001d003958,4,1
Zm00001d023468,5,0
Zm00001d021477,3,0
Zm00001d017570,6,0
Zm00001d044995,6,0
Zm00001d027290,1,0
Zm00001d030303,3,0
Zm00001d043378,3,1
Zm00001d011829,3,0
Zm00001d033005,1,1
Zm00001d013873,6,0
Zm00001d047519,3,1
Zm00001d013168,3,0
Zm00001d020683,1,1
Zm00001d025241,7,0
Zm00001d030345,1,0
Zm00001d031740,2,0
Zm00001d051700,1,1
Zm00001d003981,5,0
Zm00001d029052,6,0
Zm00001d042922,2,0
Zm00001d017935,7,0
Zm00001d001785,1,0
Zm00001d038092,3,0
Zm00001d009328,6,0
Zm00001d009570,7,1
Zm00001d043474,5,1
Zm00001d006059,5,0
Zm00001d048623,1,1
Zm00001d003512,1,0
Zm00001d046455,5,0
Zm00001d043695,5,0
Zm00001d034788,1,0
Zm00001d026662,6,0
Zm00001d012508,7,1
Zm00001d034903,7,0
Zm00001d052725,5,1
Zm00001d016876,5,1
Zm00001d049197,1,0
Zm00001d012629,7,0
Zm00001d023462,3,0
Zm00001d043620,5,0
Zm00001d034145,6,1
Zm00001d013208,6,1
Zm00001d024376,5,1
Zm00001d031725,6,1
Zm00001d023839,3,0
Zm00001d038087,3,1
Zm00001d005563,3,0
Zm00001d034655,6,1
Zm00001d009374,3,0
Zm00001d033168,3,0
Zm00001d024644,3,1
Zm00001d012338,4,0
Zm00001d017684,5,0
Zm00001d034130,6,0
Zm00001d032763,3,0
Zm00001d031127,5,0
Zm00001d043569,6,1
Zm00001d042812,6,0
Zm00001d027901,6,1
Zm00001d008326,3,0
Zm00001d044059,3,0
Zm00001d010880,3,0
Zm00001d010094,7,0
Zm00001d006922,3,1
Zm00001d053372,3,0
Zm00001d027965,1,0
Zm00001d005283,1,0
Zm00001d009716,3,0
Zm00001d045212,4,1
Zm00001d015780,4,0
Zm00001d028007,4,1
Zm00001d048825,4,0
Zm00001d033522,1,0
Zm00001d037094,1,0
Zm00001d021883,1,0
Zm00001d045764,3,0
Zm00001d043911,6,0
Zm00001d053995,6,0
Zm00001d037941,5,1
Zm00001d029806,5,0
Zm00001d011076,6,0
Zm00001d026308,5,0
Zm00001d005888,6,1
Zm00001d020714,6,1
Zm00001d035757,3,0
Zm00001d022436,4,0
Zm00001d048647,6,1
Zm00001d011527,6,1
Zm00001d014757,5,0
Zm00001d039160,4,0
Zm00001d053356,1,0
Zm00001d032401,6,0
Zm00001d001945,1,1
Zm00001d036917,3,0
Zm00001d040362,4,1
Zm00001d022525,5,1
Zm00001d042588,5,1
